"subscription_id","customer_id","plan_id","status","billing_cycle","start_date","end_date","mrr_usd","discount_pct","trial_end_date","cancellation_reason","created_at"
149,102,2,"cancelled","annual","2023-05-05","2025-03-17",10.00,0.00,"2023-05-19","Too expensive","2026-04-24 22:09:13.186774"
150,103,2,"active","monthly","2023-01-02",NULL,10.80,10.00,"2023-01-16",NULL,"2026-04-24 22:09:13.186774"
151,104,2,"expired","monthly","2023-09-17","2024-06-28",10.80,10.00,"2023-10-01","Budget cuts","2026-04-24 22:09:13.186774"
152,104,4,"active","monthly","2024-06-28",NULL,39.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
153,105,1,"cancelled","annual","2023-06-29","2024-04-02",0.00,0.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
154,105,5,"cancelled","monthly","2024-04-02","2025-02-10",59.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
155,105,3,"active","monthly","2025-02-10",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
156,106,2,"expired","annual","2023-11-14","2024-08-30",10.00,0.00,"2023-11-28","Missing features","2026-04-24 22:09:13.186774"
157,106,3,"expired","monthly","2024-08-30","2024-11-30",19.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
158,106,1,"active","annual","2024-11-30",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
159,107,1,"cancelled","annual","2024-01-12","2024-08-20",0.00,0.00,NULL,"Too expensive","2026-04-24 22:09:13.186774"
160,107,3,"active","monthly","2024-08-20",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
161,108,2,"cancelled","monthly","2025-04-22","2025-07-18",12.00,0.00,"2025-05-06","Missing features","2026-04-24 22:09:13.186774"
162,109,3,"active","annual","2024-03-21",NULL,15.83,0.00,"2024-04-04",NULL,"2026-04-24 22:09:13.186774"
163,110,2,"cancelled","annual","2024-03-24","2024-06-14",10.00,0.00,"2024-04-07","Not using it","2026-04-24 22:09:13.186774"
164,111,5,"active","annual","2024-06-26",NULL,49.17,0.00,"2024-07-10",NULL,"2026-04-24 22:09:13.186774"
165,112,6,"active","monthly","2025-07-27",NULL,99.00,0.00,"2025-08-10",NULL,"2026-04-24 22:09:13.186774"
166,113,2,"cancelled","monthly","2024-12-29","2025-04-09",12.00,0.00,"2025-01-12","Budget cuts","2026-04-24 22:09:13.186774"
167,113,4,"active","monthly","2025-04-09",NULL,39.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
168,114,6,"cancelled","monthly","2025-06-24","2025-09-22",99.00,0.00,"2025-07-08","Not using it","2026-04-24 22:09:13.186774"
169,115,3,"cancelled","monthly","2025-06-18","2025-10-24",19.00,0.00,"2025-07-02","Not using it","2026-04-24 22:09:13.186774"
170,115,4,"cancelled","monthly","2025-10-24","2025-12-23",39.00,0.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
171,115,3,"active","annual","2025-12-23",NULL,15.83,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
172,116,1,"expired","monthly","2025-08-21","2025-10-22",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
173,116,2,"expired","monthly","2025-10-22","2025-12-21",12.00,0.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
174,116,3,"active","annual","2025-12-21",NULL,15.83,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
175,117,3,"expired","monthly","2024-10-01","2024-12-17",19.00,0.00,"2024-10-15","Too expensive","2026-04-24 22:09:13.186774"
176,117,1,"active","monthly","2024-12-17",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
177,118,2,"active","monthly","2024-10-04",NULL,12.00,0.00,"2024-10-18",NULL,"2026-04-24 22:09:13.186774"
178,119,2,"cancelled","monthly","2023-07-28","2024-05-03",9.60,20.00,"2023-08-11","Too expensive","2026-04-24 22:09:13.186774"
179,119,4,"active","monthly","2024-05-03",NULL,39.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
180,120,1,"cancelled","monthly","2023-09-11","2023-11-19",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
181,121,5,"active","annual","2024-02-07",NULL,49.17,0.00,"2024-02-21",NULL,"2026-04-24 22:09:13.186774"
182,122,1,"cancelled","monthly","2023-09-28","2024-02-20",0.00,0.00,NULL,"Too expensive","2026-04-24 22:09:13.186774"
183,122,2,"active","annual","2024-02-20",NULL,10.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
184,123,2,"active","annual","2024-09-30",NULL,10.00,0.00,"2024-10-14",NULL,"2026-04-24 22:09:13.186774"
185,124,4,"active","monthly","2024-12-31",NULL,39.00,0.00,"2025-01-14",NULL,"2026-04-24 22:09:13.186774"
186,125,3,"cancelled","annual","2024-12-26","2025-04-29",13.46,15.00,"2025-01-09","Switched competitor","2026-04-24 22:09:13.186774"
187,125,4,"active","annual","2025-04-29",NULL,29.25,10.00,NULL,NULL,"2026-04-24 22:09:13.186774"
188,126,4,"expired","monthly","2025-03-12","2025-10-29",39.00,0.00,"2025-03-26","Budget cuts","2026-04-24 22:09:13.186774"
189,126,6,"active","monthly","2025-10-29",NULL,99.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
190,127,4,"cancelled","monthly","2024-03-27","2024-07-22",39.00,0.00,"2024-04-10","Not using it","2026-04-24 22:09:13.186774"
191,127,5,"active","annual","2024-07-22",NULL,49.17,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
192,128,2,"active","annual","2024-11-09",NULL,8.50,15.00,"2024-11-23",NULL,"2026-04-24 22:09:13.186774"
193,129,4,"active","annual","2023-09-10",NULL,32.50,0.00,"2023-09-24",NULL,"2026-04-24 22:09:13.186774"
194,130,3,"expired","monthly","2024-08-10","2025-02-18",19.00,0.00,"2024-08-24","Missing features","2026-04-24 22:09:13.186774"
195,130,3,"active","monthly","2025-02-18",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
196,131,4,"expired","annual","2024-07-29","2025-07-29",32.50,0.00,"2024-08-12","Budget cuts","2026-04-24 22:09:13.186774"
197,131,6,"active","annual","2025-07-29",NULL,82.50,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
198,132,2,"cancelled","monthly","2025-02-28","2025-10-29",12.00,0.00,"2025-03-14","Not using it","2026-04-24 22:09:13.186774"
199,133,2,"active","monthly","2023-06-29",NULL,9.60,20.00,"2023-07-13",NULL,"2026-04-24 22:09:13.186774"
200,134,4,"active","monthly","2024-10-18",NULL,39.00,0.00,"2024-11-01",NULL,"2026-04-24 22:09:13.186774"
201,135,1,"active","monthly","2024-08-04",NULL,0.00,25.00,NULL,NULL,"2026-04-24 22:09:13.186774"
202,136,2,"active","monthly","2025-01-10",NULL,12.00,0.00,"2025-01-24",NULL,"2026-04-24 22:09:13.186774"
203,137,4,"active","monthly","2023-08-15",NULL,39.00,0.00,"2023-08-29",NULL,"2026-04-24 22:09:13.186774"
204,138,1,"expired","monthly","2023-03-25","2023-06-18",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
205,138,3,"active","monthly","2023-06-18",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
206,139,1,"cancelled","monthly","2025-01-04","2025-04-13",0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
207,139,5,"cancelled","annual","2025-04-13","2025-07-22",49.17,0.00,NULL,"Company reorganization","2026-04-24 22:09:13.186774"
208,139,5,"active","annual","2025-07-22",NULL,44.25,10.00,NULL,NULL,"2026-04-24 22:09:13.186774"
209,140,2,"expired","annual","2025-04-16","2025-08-16",10.00,0.00,"2025-04-30","Company reorganization","2026-04-24 22:09:13.186774"
210,140,4,"cancelled","monthly","2025-08-16","2025-06-27",39.00,0.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
211,141,5,"active","monthly","2025-07-01",NULL,59.00,0.00,"2025-07-15",NULL,"2026-04-24 22:09:13.186774"
212,142,5,"cancelled","monthly","2023-05-11","2023-08-27",59.00,0.00,"2023-05-25","Too expensive","2026-04-24 22:09:13.186774"
213,142,2,"expired","monthly","2023-08-27","2024-05-16",12.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
214,142,5,"active","annual","2024-05-16",NULL,49.17,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
215,143,2,"cancelled","annual","2024-11-07","2025-10-15",9.00,10.00,"2024-11-21","Too expensive","2026-04-24 22:09:13.186774"
216,143,2,"active","monthly","2025-10-15",NULL,10.80,10.00,NULL,NULL,"2026-04-24 22:09:13.186774"
217,144,6,"active","annual","2023-08-11",NULL,82.50,0.00,"2023-08-25",NULL,"2026-04-24 22:09:13.186774"
218,145,4,"active","monthly","2024-06-17",NULL,39.00,0.00,"2024-07-01",NULL,"2026-04-24 22:09:13.186774"
219,146,4,"active","monthly","2023-11-04",NULL,39.00,0.00,"2023-11-18",NULL,"2026-04-24 22:09:13.186774"
220,147,3,"expired","annual","2023-09-06","2024-02-09",15.83,0.00,"2023-09-20","Too expensive","2026-04-24 22:09:13.186774"
221,147,2,"active","annual","2024-02-09",NULL,10.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
222,148,1,"cancelled","monthly","2025-02-18","2025-07-14",0.00,0.00,NULL,"Too expensive","2026-04-24 22:09:13.186774"
